id,name,lat,lon,cuisine_type,halal_cert,price_range,has_prayer_room,address,phone,hours,notes,source,verified_date
HLR_BKK_001,Thai Pakistan Restaurant,13.7293932,100.5192825,,Unverified,,,Thai Pakistan Restaurant,,,,Google My Maps Export,
HLR_BKK_002,Al-Rahaman,13.7275114,100.5181712,,Unverified,,,Al-Rahaman,,,,Google My Maps Export,
HLR_BKK_003,New Al Makkah Restaurant,13.7283412,100.5176725,,Unverified,,,New Al Makkah Restaurant,,,,Google My Maps Export,
HLR_BKK_004,Khan,13.7272082,100.5178126,,Unverified,,,Khan,,,,Google My Maps Export,
HLR_BKK_005,"Grilled Town |Pakistani, Indian | Halal Restaurant in Bangkok | Muslim Restaurant | near Punjabi Restaurants",13.7266642,100.5213699,,Unverified,,,"Grilled Town |Pakistani, Indian | Halal Restaurant in Bangkok | Muslim Restaurant | near Punjabi Restaurants",,,,Google My Maps Export,
HLR_BKK_006,Mashallah Restaurant,13.7273465,100.5182827,,Unverified,,,Mashallah Restaurant,,,,Google My Maps Export,
HLR_BKK_007,Raita Indian Cuisine Pattanakan (ไรตะ ร้านอาหารอินเดียฮาลาล ต้นตำหรับ เจ้าเด็ดพัฒนาการ),13.7363641,100.6189128,,Unverified,,,Raita Indian Cuisine Pattanakan (ไรตะ ร้านอาหารอินเดียฮาลาล ต้นตำหรับ เจ้าเด็ดพัฒนาการ),,,,Google My Maps Export,
HLR_BKK_008,LITTLE SPICY RESTAURANT,13.7411763,100.5564365,,Unverified,,,LITTLE SPICY RESTAURANT,,,,Google My Maps Export,
HLR_BKK_009,Royal India (Food Court),13.7318014,100.5693685,,Unverified,,,Royal India (Food Court),,,,Google My Maps Export,
HLR_BKK_010,Azian | Halal Food | Tops Foodhall | Central Chidlom,13.744833,100.5444999,,Unverified,,,Azian | Halal Food | Tops Foodhall | Central Chidlom,,,,Google My Maps Export,
HLR_BKK_011,Tania Restaurant,13.7434691,100.5020298,,Unverified,,,Tania Restaurant,,,,Google My Maps Export,
HLR_BKK_012,Habib's Kebab Biryani Curry (Halal),13.7375781,100.5601126,,Unverified,,,Habib's Kebab Biryani Curry (Halal),,,,Google My Maps Export,
HLR_BKK_013,Radhuni Restaurant Muslim,13.7396523,100.5573319,,Unverified,,,Radhuni Restaurant Muslim,,,,Google My Maps Export,
HLR_BKK_014,Charoen Krung Thai Arabic Halal Food,13.7282661,100.5175947,,Unverified,,,Charoen Krung Thai Arabic Halal Food,,,,Google My Maps Export,
HLR_BKK_015,Al Saray,13.7288294,100.5346533,,Unverified,,,Al Saray,,,,Google My Maps Export,
HLR_BKK_016,Al Saray - Soonvijai,13.7483786,100.5839073,,Unverified,,,Al Saray - Soonvijai,,,,Google My Maps Export,
HLR_BKK_017,Samat Muslim Food,13.7541519,100.5421789,,Unverified,,,Samat Muslim Food,,,,Google My Maps Export,
HLR_BKK_018,Everything Halal,13.7525503,100.5412716,,Unverified,,,Everything Halal,,,,Google My Maps Export,
HLR_BKK_019,Ali's Indian & Thai - MBK Center G Floor Zone D,13.7436484,100.5299705,,Unverified,,,Ali's Indian & Thai - MBK Center G Floor Zone D,,,,Google My Maps Export,
HLR_BKK_020,Longest Grill by Ali สาขา MBK Center ชั้น G,13.744866,100.5297873,,Unverified,,,Longest Grill by Ali สาขา MBK Center ชั้น G,,,,Google My Maps Export,
HLR_BKK_021,Kebab Wrap,13.7450411,100.5296271,,Unverified,,,Kebab Wrap,,,,Google My Maps Export,
HLR_BKK_022,MEZBAAN RESTAURANT,13.7442403,100.5569851,,Unverified,,,MEZBAAN RESTAURANT,,,,Google My Maps Export,
HLR_BKK_023,Al Sana Restaurant and Hotel,13.7545251,100.5400772,,Unverified,,,Al Sana Restaurant and Hotel,,,,Google My Maps Export,
HLR_BKK_024,Star Restaurant Bangkok,13.7462238,100.5535648,,Unverified,,,Star Restaurant Bangkok,,,,Google My Maps Export,
HLR_BKK_025,Royal India,13.7463118,100.5536184,,Unverified,,,Royal India,,,,Google My Maps Export,
HLR_BKK_026,Halal Food Southern Products,13.7260721,100.5099209,,Unverified,,,Halal Food Southern Products,,,,Google My Maps Export,
HLR_BKK_027,Al-Hussain Restaurant (1996),13.7425747,100.5535258,,Unverified,,,Al-Hussain Restaurant (1996),,,,Google My Maps Export,
HLR_BKK_028,Hasan Biriyani Halal Indian Food,13.7479228,100.5843278,,Unverified,,,Hasan Biriyani Halal Indian Food,,,,Google My Maps Export,
HLR_BKK_029,M&M Asiatique The Riverfront Indian-Thai Halal Restaurant,13.7033618,100.5036229,,Unverified,,,M&M Asiatique The Riverfront Indian-Thai Halal Restaurant,,,,Google My Maps Export,
HLR_BKK_030,Al-Qasim Cuisine,13.7436706,100.5538351,,Unverified,,,Al-Qasim Cuisine,,,,Google My Maps Export,
HLR_BKK_031,Burj Al Arab Restaurant Bangkok,13.7432502,100.5532879,,Unverified,,,Burj Al Arab Restaurant Bangkok,,,,Google My Maps Export,
HLR_BKK_032,Sunshine (Srilankan and South indian Halal Food),13.7238785,100.5221175,,Unverified,,,Sunshine (Srilankan and South indian Halal Food),,,,Google My Maps Export,
HLR_BKK_033,LAHORE RESTAURANT Silom,13.7262705,100.5274964,,Unverified,,,LAHORE RESTAURANT Silom,,,,Google My Maps Export,
HLR_BKK_034,Lucky kitchen halal restaurant,13.7389836,100.5594495,,Unverified,,,Lucky kitchen halal restaurant,,,,Google My Maps Export,
HLR_BKK_035,Habibi Restaurant Halal Food,13.7256145,100.5229839,,Unverified,,,Habibi Restaurant Halal Food,,,,Google My Maps Export,
HLR_BKK_036,Tadka Eleven,13.7411373,100.5566319,,Unverified,,,Tadka Eleven,,,,Google My Maps Export,
HLR_BKK_037,Indian/Pakistani Halal Restaurant Chakaimuk by pti cafe,13.7620838,100.6453518,,Unverified,,,Indian/Pakistani Halal Restaurant Chakaimuk by pti cafe,,,,Google My Maps Export,
HLR_BKK_038,Jasmine Restaurant,13.747965,100.5843203,,Unverified,,,Jasmine Restaurant,,,,Google My Maps Export,
HLR_BKK_039,Adarsh Indian Restaurant branch 1 ramkhamhaeng,13.7628627,100.6399788,,Unverified,,,Adarsh Indian Restaurant branch 1 ramkhamhaeng,,,,Google My Maps Export,
HLR_BKK_040,Deshi Khabar,13.740929,100.5573131,,Unverified,,,Deshi Khabar,,,,Google My Maps Export,
HLR_BKK_041,Bangla House | বাংলাদেশী রেস্টুরেন্ট,13.7454243,100.5516773,,Unverified,,,Bangla House | বাংলাদেশী রেস্টুরেন্ট,,,,Google My Maps Export,
HLR_BKK_042,BANGLA KHABAR,13.7433648,100.5560972,,Unverified,,,BANGLA KHABAR,,,,Google My Maps Export,
HLR_BKK_043,Indian Darbar Indian Food @ Pratunam อาหารอินเดีย อินเดียน ดาร์บาร์ สาขาประตูน้ำ,13.7530129,100.5415622,,Unverified,,,Indian Darbar Indian Food @ Pratunam อาหารอินเดีย อินเดียน ดาร์บาร์ สาขาประตูน้ำ,,,,Google My Maps Export,
HLR_BKK_044,Sallim Restaurant,13.7277739,100.5154761,,Unverified,,,Sallim Restaurant,,,,Google My Maps Export,
HLR_BKK_045,Lasani,13.726274,100.5165392,,Unverified,,,Lasani,,,,Google My Maps Export,
HLR_BKK_046,Karachi Delight | การาจี ดีไลท์​ Flr.5,13.7224995,100.5201862,,Unverified,,,Karachi Delight | การาจี ดีไลท์​ Flr.5,,,,Google My Maps Export,
HLR_BKK_047,Karachi Delight Icon Siam,13.7266776,100.5100855,,Unverified,,,Karachi Delight Icon Siam,,,,Google My Maps Export,
HLR_BKK_048,Desi Khabbay Restaurant & Catering Services,13.6355423,100.5025337,,Unverified,,,Desi Khabbay Restaurant & Catering Services,,,,Google My Maps Export,
HLR_BKK_049,Ali’s Thai Halal Restaurant,13.7498468,100.5402976,,Unverified,,,Ali’s Thai Halal Restaurant,,,,Google My Maps Export,
HLR_BKK_050,JMQ Foods,13.7106141,100.5240941,,Unverified,,,JMQ Foods,,,,Google My Maps Export,
HLR_BKK_051,Yusuffood Thonglo 25,13.7429858,100.5810457,,Unverified,,,Yusuffood Thonglo 25,,,,Google My Maps Export,
HLR_BKK_052,Yusuffood Onnut 70/1,13.713961,100.6567878,,Unverified,,,Yusuffood Onnut 70/1,,,,Google My Maps Export,
HLR_BKK_053,Nuatair Restaurant Halal by Company B at Siam Centre,13.7462484,100.5331314,,Unverified,,,Nuatair Restaurant Halal by Company B at Siam Centre,,,,Google My Maps Export,
HLR_BKK_054,Nuatair Plus,13.747007,100.539956,,Unverified,,,Nuatair Plus,,,,Google My Maps Export,
HLR_BKK_055,Nuatair,13.7347079,100.5285401,,Unverified,,,Nuatair,,,,Google My Maps Export,
HLR_BKK_056,Haleemah Tailee - Halal,13.7393624,100.5928045,,Unverified,,,Haleemah Tailee - Halal,,,,Google My Maps Export,
HLR_BKK_057,Barakat Factory,13.7276267,100.6201444,,Unverified,,,Barakat Factory,,,,Google My Maps Export,
HLR_BKK_058,ตั้งใจเคี้ยว,13.7264565,100.6185519,,Unverified,,,ตั้งใจเคี้ยว,,,,Google My Maps Export,
HLR_BKK_059,Warisan Nasi Kukus Halal @Joddfair New Zone,13.7583574,100.5670535,,Unverified,,,Warisan Nasi Kukus Halal @Joddfair New Zone,,,,Google My Maps Export,
HLR_BKK_060,โรตีริเว่อร์ไซด์ Roti Riverside ฮาล๊าลฟู๊ด Halal Food,13.7429751,100.6043697,,Unverified,,,โรตีริเว่อร์ไซด์ Roti Riverside ฮาล๊าลฟู๊ด Halal Food,,,,Google My Maps Export,
HLR_BKK_061,Azizah halal food อาหารญี่ปุ่น สเต็ก สปาเก็ตตี้ ฮาลาล,13.736222,100.6091478,,Unverified,,,Azizah halal food อาหารญี่ปุ่น สเต็ก สปาเก็ตตี้ ฮาลาล,,,,Google My Maps Export,
HLR_BKK_062,Khuaindy,13.7297287,100.6241173,,Unverified,,,Khuaindy,,,,Google My Maps Export,
HLR_BKK_063,Yana Restaurant,13.744866,100.5297873,,Unverified,,,Yana Restaurant,,,,Google My Maps Export,
HLR_BKK_064,Moonlight Halal Café & Restaurant,13.7346245,100.6067614,,Unverified,,,Moonlight Halal Café & Restaurant,,,,Google My Maps Export,
HLR_BKK_065,โก๋ในซอย x All about halal breakfast,13.7478504,100.6085819,,Unverified,,,โก๋ในซอย x All about halal breakfast,,,,Google My Maps Export,
HLR_BKK_066,Usman Thai Muslim Food,13.7298544,100.5655637,,Unverified,,,Usman Thai Muslim Food,,,,Google My Maps Export,
HLR_BKK_067,IKROM HALAL FOOD,13.7399567,100.6464667,,Unverified,,,IKROM HALAL FOOD,,,,Google My Maps Export,
HLR_BKK_068,Coffee Bangkok (Halal),13.7481144,100.6276906,,Unverified,,,Coffee Bangkok (Halal),,,,Google My Maps Export,
HLR_BKK_069,Baan Yala Halal Food,13.7452443,100.5003514,,Unverified,,,Baan Yala Halal Food,,,,Google My Maps Export,
HLR_BKK_070,เนื้อแท้ Wok,13.7653855,100.643166,,Unverified,,,เนื้อแท้ Wok,,,,Google My Maps Export,
HLR_BKK_071,Sinthorn Steak House,13.7533164,100.6462313,,Unverified,,,Sinthorn Steak House,,,,Google My Maps Export,
HLR_BKK_072,Nuatair Seacon Square,13.6927851,100.6482313,,Unverified,,,Nuatair Seacon Square,,,,Google My Maps Export,
HLR_BKK_073,Deano Cafe,13.7453522,100.6044899,,Unverified,,,Deano Cafe,,,,Google My Maps Export,
HLR_BKK_074,I. C. Coffee & Cuisine,13.7437163,100.6042696,,Unverified,,,I. C. Coffee & Cuisine,,,,Google My Maps Export,
HLR_BKK_075,Nadia Halal Food,13.715599,100.520761,,Unverified,,,Nadia Halal Food,,,,Google My Maps Export,
HLR_BKK_076,Darul Amin Food Court,13.7058442,100.6450291,,Unverified,,,Darul Amin Food Court,,,,Google My Maps Export,
HLR_BKK_077,Jabir Halal Food,13.7510446,100.5250309,,Unverified,,,Jabir Halal Food,,,,Google My Maps Export,
HLR_BKK_078,The Villa Halal,13.6886824,100.7536616,,Unverified,,,The Villa Halal,,,,Google My Maps Export,
HLR_BKK_079,M5 cafe and restaurant,13.746559,100.6020142,,Unverified,,,M5 cafe and restaurant,,,,Google My Maps Export,
HLR_BKK_080,Diwan Restaurant (Halal),13.7460648,100.6038648,,Unverified,,,Diwan Restaurant (Halal),,,,Google My Maps Export,
HLR_BKK_081,Halal Food Center ASIATIQUE,13.7051758,100.5029401,,Unverified,,,Halal Food Center ASIATIQUE,,,,Google My Maps Export,
HLR_BKK_082,Panadda Kitchen Halal Food,13.7027611,100.5033655,,Unverified,,,Panadda Kitchen Halal Food,,,,Google My Maps Export,
HLR_BKK_083,Silom Halal Food,13.7257939,100.5229958,,Unverified,,,Silom Halal Food,,,,Google My Maps Export,
HLR_BKK_084,Halal food,13.7017674,100.5023541,,Unverified,,,Halal food,,,,Google My Maps Export,
HLR_BKK_085,TaRook Steak & Burgers,13.7110454,100.5134258,,Unverified,,,TaRook Steak & Burgers,,,,Google My Maps Export,
HLR_BKK_086,Shabeebee House,13.7696752,100.5903728,,Unverified,,,Shabeebee House,,,,Google My Maps Export,
HLR_BKK_087,Shabeebee House,13.7434906,100.5249124,,Unverified,,,Shabeebee House,,,,Google My Maps Export,
HLR_BKK_088,Makan Makin Halal Food,13.7552912,100.5300371,,Unverified,,,Makan Makin Halal Food,,,,Google My Maps Export,
HLR_BKK_089,Muna Muslim Kitchen,13.7550145,100.5300213,,Unverified,,,Muna Muslim Kitchen,,,,Google My Maps Export,
HLR_BKK_090,Halal street,13.7541852,100.529894,,Unverified,,,Halal street,,,,Google My Maps Export,
HLR_BKK_091,Nissareen,13.7540753,100.5303186,,Unverified,,,Nissareen,,,,Google My Maps Export,
HLR_BKK_092,นิยะห์ โภชนา,13.7540512,100.530041,,Unverified,,,นิยะห์ โภชนา,,,,Google My Maps Export,
HLR_BKK_093,Rotinis Halal Breakfast,13.7544019,100.5301196,,Unverified,,,Rotinis Halal Breakfast,,,,Google My Maps Export,
HLR_BKK_094,Ibrahim Muslim Food,13.7545064,100.5300847,,Unverified,,,Ibrahim Muslim Food,,,,Google My Maps Export,
HLR_BKK_095,ครัวแบลี ซอย7Ali selatan Muslim food,13.7540252,100.5300432,,Unverified,,,ครัวแบลี ซอย7Ali selatan Muslim food,,,,Google My Maps Export,
HLR_BKK_096,ไก่ย่างมารีนะห์ Marinah Halal Chicken,13.7556226,100.5300746,,Unverified,,,ไก่ย่างมารีนะห์ Marinah Halal Chicken,,,,Google My Maps Export,
HLR_BKK_097,Asma Kitchen Som Tum Yum Sap Soi Phetchaburi 7(halal food),13.7559018,100.5303183,,Unverified,,,Asma Kitchen Som Tum Yum Sap Soi Phetchaburi 7(halal food),,,,Google My Maps Export,
HLR_BKK_098,Farida Fatornee,13.7537226,100.5309624,,Unverified,,,Farida Fatornee,,,,Google My Maps Export,
HLR_BKK_099,Madena,13.753788,100.5307717,,Unverified,,,Madena,,,,Google My Maps Export,
HLR_BKK_100,​Chaolay Seafood​​ MBK​ center (Halal),13.7447916,100.5302186,,Unverified,,,​Chaolay Seafood​​ MBK​ center (Halal),,,,Google My Maps Export,
HLR_BKK_101,ร้านยำลูกชิ้นอันดามัน (Yumandaman) @Iconsiam Street Food,13.7267447,100.5105371,,Unverified,,,ร้านยำลูกชิ้นอันดามัน (Yumandaman) @Iconsiam Street Food,,,,Google My Maps Export,
HLR_BKK_102,Jeerapaan,13.7460937,100.5352986,,Unverified,,,Jeerapaan,,,,Google My Maps Export,
HLR_BKK_103,เนื้อแท้ Nuatair Restaurant,13.7356622,100.5617238,,Unverified,,,เนื้อแท้ Nuatair Restaurant,,,,Google My Maps Export,
HLR_BKK_104,Mah Halal Food,13.7328409,100.537681,,Unverified,,,Mah Halal Food,,,,Google My Maps Export,
HLR_BKK_105,Ahmad Rosdee & Krua Thai,13.7443245,100.611049,,Unverified,,,Ahmad Rosdee & Krua Thai,,,,Google My Maps Export,
HLR_BKK_106,Songpeenong Halal Food,13.7464246,100.6001641,,Unverified,,,Songpeenong Halal Food,,,,Google My Maps Export,
HLR_BKK_107,Sophia Restaurant (Halal),13.7460905,100.6031935,,Unverified,,,Sophia Restaurant (Halal),,,,Google My Maps Export,
HLR_BKK_108,Local Muslim Food Stall ร้านอาหารมุสลิม,13.7465351,100.5512943,,Unverified,,,Local Muslim Food Stall ร้านอาหารมุสลิม,,,,Google My Maps Export,
HLR_BKK_109,Makanan Muslim Halal,13.7532474,100.5389422,,Unverified,,,Makanan Muslim Halal,,,,Google My Maps Export,
HLR_BKK_110,Rahim,13.7158919,100.5881825,,Unverified,,,Rahim,,,,Google My Maps Export,
HLR_BKK_111,Halal food (อาหารฮาลาล),13.7212188,100.5294081,,Unverified,,,Halal food (อาหารฮาลาล),,,,Google My Maps Export,
HLR_BKK_112,Chong Ko (Halal),13.7234747,100.5219863,,Unverified,,,Chong Ko (Halal),,,,Google My Maps Export,
HLR_BKK_113,Aisyah & Amina,13.7155648,100.5217843,,Unverified,,,Aisyah & Amina,,,,Google My Maps Export,
HLR_BKK_114,Krua Khun Yay,13.7159926,100.5207334,,Unverified,,,Krua Khun Yay,,,,Google My Maps Export,
HLR_BKK_115,ซาเราะห์,13.7255477,100.5150529,,Unverified,,,ซาเราะห์,,,,Google My Maps Export,
HLR_BKK_116,Street Food near Haroon Mosque,13.7251348,100.5149509,,Unverified,,,Street Food near Haroon Mosque,,,,Google My Maps Export,
HLR_BKK_117,Mariam,13.7439732,100.5007794,,Unverified,,,Mariam,,,,Google My Maps Export,
HLR_BKK_118,Halal Market (Street Food),13.7027227,100.5032569,,Unverified,,,Halal Market (Street Food),,,,Google My Maps Export,
HLR_BKK_119,ศูนย์อาหารมุสลิม เอเชียทีค (Halal Food Center Asiatique),13.702737,100.5034581,,Unverified,,,ศูนย์อาหารมุสลิม เอเชียทีค (Halal Food Center Asiatique),,,,Google My Maps Export,
HLR_BKK_120,(Halal) Foodcourt @ Asiatique The Riverfront,13.704929,100.502944,,Unverified,,,(Halal) Foodcourt @ Asiatique The Riverfront,,,,Google My Maps Export,
HLR_BKK_121,ศูนย์รวมอาหารฮาลาล59มินิพลาซ่า Mini Plaza รามคำแหง59,13.760296,100.622631,,Unverified,,,ศูนย์รวมอาหารฮาลาล59มินิพลาซ่า Mini Plaza รามคำแหง59,,,,Google My Maps Export,
HLR_BKK_122,ร้านไก่ทอดใบคานอิสลามหาดใหญ่,13.7603607,100.6234252,,Unverified,,,ร้านไก่ทอดใบคานอิสลามหาดใหญ่,,,,Google My Maps Export,
HLR_BKK_123,โกบู๊ รสซิ่ง (ฮาลาส),13.7605016,100.6224758,,Unverified,,,โกบู๊ รสซิ่ง (ฮาลาส),,,,Google My Maps Export,
HLR_BKK_124,Kawasan Makan Halal Bangkok,13.7604474,100.6228492,,Unverified,,,Kawasan Makan Halal Bangkok,,,,Google My Maps Export,
HLR_BKK_125,นิดา ฮาลาล,13.7415626,100.6011575,,Unverified,,,นิดา ฮาลาล,,,,Google My Maps Export,
HLR_BKK_126,AREA53,13.7618055,100.6178436,,Unverified,,,AREA53,,,,Google My Maps Export,
